:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0001,AC1001-S01-C04,AC1001-S01,AC1001,Bearing wear,MINOR,2024-09-06T01:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0002,AC1001-S01-C05,AC1001-S01,AC1001,Bearing wear,MINOR,2024-09-12T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0003,AC1001-S01-C03,AC1001-S01,AC1001,Bearing wear,MINOR,2024-09-15T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0004,AC1001-S01-C01,AC1001-S01,AC1001,Bearing wear,MINOR,2024-09-19T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0005,AC1001-S01-C03,AC1001-S01,AC1001,Sensor drift,MINOR,2024-09-25T23:00:00,Replaced sensor unit and recalibrated engine monitoring system
ME0006,AC1001-S01-C03,AC1001-S01,AC1001,Vibration exceedance,CRITICAL,2024-09-27T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0007,AC1001-S02-C05,AC1001-S02,AC1001,Bearing wear,MINOR,2024-08-11T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0008,AC1001-S02-C02,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-08-21T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0009,AC1001-S02-C02,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-08-24T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0010,AC1001-S02-C05,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-08-28T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0011,AC1001-S02-C03,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-01T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0012,AC1001-S02-C02,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-04T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0013,AC1001-S02-C05,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-09T11:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0014,AC1001-S02-C01,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-12T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0015,AC1001-S02-C04,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-15T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0016,AC1001-S02-C03,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-20T08:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0017,AC1001-S02-C04,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-24T11:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0018,AC1001-S02-C02,AC1001-S02,AC1001,Vibration exceedance,CRITICAL,2024-09-27T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0019,AC1002-S01-C03,AC1002-S01,AC1002,Bearing wear,MINOR,2024-08-30T05:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0020,AC1002-S01-C04,AC1002-S01,AC1002,Bearing wear,MAJOR,2024-09-05T04:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0021,AC1002-S01-C01,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-08T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0022,AC1002-S01-C03,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-12T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0023,AC1002-S01-C03,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-16T08:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0024,AC1002-S01-C02,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-19T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0025,AC1002-S01-C03,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-23T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0026,AC1002-S01-C04,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-26T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0027,AC1003-S01-C05,AC1003-S01,AC1003,Bearing wear,MINOR,2024-09-16T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0028,AC1004-S01-C05,AC1004-S01,AC1004,Bearing wear,MAJOR,2024-09-17T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0029,AC1004-S02-C02,AC1004-S02,AC1004,Bearing wear,MAJOR,2024-08-27T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0030,AC1004-S02-C01,AC1004-S02,AC1004,Bearing wear,MAJOR,2024-08-31T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0031,AC1004-S02-C03,AC1004-S02,AC1004,Bearing wear,MAJOR,2024-09-03T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0032,AC1004-S02-C03,AC1004-S02,AC1004,Vibration exceedance,CRITICAL,2024-09-07T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0033,AC1004-S02-C04,AC1004-S02,AC1004,Vibration exceedance,CRITICAL,2024-09-12T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0034,AC1004-S02-C03,AC1004-S02,AC1004,Vibration exceedance,CRITICAL,2024-09-15T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0035,AC1004-S02-C03,AC1004-S02,AC1004,Vibration exceedance,CRITICAL,2024-09-18T23:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0036,AC1004-S02-C04,AC1004-S02,AC1004,Vibration exceedance,CRITICAL,2024-09-23T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0037,AC1004-S02-C04,AC1004-S02,AC1004,Vibration exceedance,CRITICAL,2024-09-27T01:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0038,AC1005-S01-C03,AC1005-S01,AC1005,Bearing wear,MAJOR,2024-08-19T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0039,AC1005-S01-C01,AC1005-S01,AC1005,Bearing wear,MAJOR,2024-08-27T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0040,AC1005-S01-C04,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-08-31T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0041,AC1005-S01-C04,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-09-06T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0042,AC1005-S01-C01,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-09-10T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0043,AC1005-S01-C02,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-09-14T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0044,AC1005-S01-C03,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-09-18T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0045,AC1005-S01-C02,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-09-22T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0046,AC1005-S01-C04,AC1005-S01,AC1005,Vibration exceedance,CRITICAL,2024-09-25T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0047,AC1005-S02-C01,AC1005-S02,AC1005,Bearing wear,MINOR,2024-08-10T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0048,AC1005-S02-C02,AC1005-S02,AC1005,Bearing wear,MINOR,2024-08-14T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0049,AC1005-S02-C01,AC1005-S02,AC1005,Bearing wear,MAJOR,2024-08-18T08:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0050,AC1005-S02-C04,AC1005-S02,AC1005,Bearing wear,MAJOR,2024-08-22T00:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0051,AC1005-S02-C03,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-08-25T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0052,AC1005-S02-C03,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-08-29T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0053,AC1005-S02-C01,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-01T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0054,AC1005-S02-C02,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-04T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0055,AC1005-S02-C01,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-07T19:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0056,AC1005-S02-C02,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-11T23:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0057,AC1005-S02-C04,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-15T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0058,AC1005-S02-C01,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-19T05:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0059,AC1005-S02-C02,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-23T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0060,AC1005-S02-C05,AC1005-S02,AC1005,Vibration exceedance,CRITICAL,2024-09-26T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0061,AC1006-S01-C03,AC1006-S01,AC1006,Bearing wear,MAJOR,2024-08-14T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0062,AC1006-S01-C02,AC1006-S01,AC1006,Bearing wear,MINOR,2024-08-20T01:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0063,AC1006-S01-C02,AC1006-S01,AC1006,Bearing wear,MINOR,2024-08-27T01:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0064,AC1006-S01-C05,AC1006-S01,AC1006,Bearing wear,MINOR,2024-08-31T12:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0065,AC1006-S01-C04,AC1006-S01,AC1006,Bearing wear,MAJOR,2024-09-04T14:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0066,AC1006-S01-C02,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-08T16:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0067,AC1006-S01-C03,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-11T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0068,AC1006-S01-C05,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-15T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0069,AC1006-S01-C01,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-18T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0070,AC1006-S01-C02,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-21T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0071,AC1006-S01-C04,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-24T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0072,AC1006-S02-C02,AC1006-S02,AC1006,Bearing wear,MINOR,2024-09-06T02:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0073,AC1006-S02-C03,AC1006-S02,AC1006,Bearing wear,MAJOR,2024-09-09T03:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0074,AC1006-S02-C03,AC1006-S02,AC1006,Bearing wear,MINOR,2024-09-12T14:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0075,AC1006-S02-C03,AC1006-S02,AC1006,Bearing wear,MAJOR,2024-09-19T14:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0076,AC1006-S02-C02,AC1006-S02,AC1006,Bearing wear,MINOR,2024-09-22T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0077,AC1006-S02-C01,AC1006-S02,AC1006,Vibration exceedance,CRITICAL,2024-09-27T03:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0078,AC1007-S02-C01,AC1007-S02,AC1007,Bearing wear,MINOR,2024-08-19T22:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0079,AC1007-S02-C05,AC1007-S02,AC1007,Bearing wear,MAJOR,2024-08-27T05:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0080,AC1007-S02-C03,AC1007-S02,AC1007,Bearing wear,MAJOR,2024-08-30T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0081,AC1007-S02-C05,AC1007-S02,AC1007,Bearing wear,MINOR,2024-09-02T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0082,AC1007-S02-C02,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-06T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0083,AC1007-S02-C03,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-09T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0084,AC1007-S02-C04,AC1007-S02,AC1007,Sensor drift,MINOR,2024-09-11T07:00:00,Replaced sensor unit and recalibrated engine monitoring system
ME0085,AC1007-S02-C03,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-12T17:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0086,AC1007-S02-C05,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-16T01:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0087,AC1007-S02-C02,AC1007-S02,AC1007,Sensor drift,MINOR,2024-09-17T07:00:00,Replaced sensor unit and recalibrated engine monitoring system
ME0088,AC1007-S02-C05,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-19T02:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0089,AC1007-S02-C02,AC1007-S02,AC1007,Overheat,CRITICAL,2024-09-22T23:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0090,AC1007-S02-C02,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-23T16:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0091,AC1007-S02-C03,AC1007-S02,AC1007,Overheat,CRITICAL,2024-09-26T04:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0092,AC1007-S02-C02,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-27T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0093,AC1008-S01-C04,AC1008-S01,AC1008,Bearing wear,MINOR,2024-09-10T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0094,AC1008-S01-C03,AC1008-S01,AC1008,Bearing wear,MAJOR,2024-09-14T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0095,AC1008-S01-C05,AC1008-S01,AC1008,Bearing wear,MINOR,2024-09-20T01:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0096,AC1008-S01-C03,AC1008-S01,AC1008,Bearing wear,MAJOR,2024-09-23T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0097,AC1008-S01-C02,AC1008-S01,AC1008,Bearing wear,MINOR,2024-09-28T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0098,AC1008-S02-C01,AC1008-S02,AC1008,Bearing wear,MINOR,2024-09-08T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0099,AC1008-S02-C04,AC1008-S02,AC1008,Bearing wear,MINOR,2024-09-12T21:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0100,AC1008-S02-C02,AC1008-S02,AC1008,Bearing wear,MINOR,2024-09-21T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0101,AC1008-S02-C04,AC1008-S02,AC1008,Bearing wear,MINOR,2024-09-24T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0102,AC1009-S02-C01,AC1009-S02,AC1009,Bearing wear,MAJOR,2024-09-28T13:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0103,AC1010-S02-C04,AC1010-S02,AC1010,Bearing wear,MAJOR,2024-09-24T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0104,AC1011-S01-C04,AC1011-S01,AC1011,Bearing wear,MINOR,2024-09-08T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0105,AC1011-S01-C03,AC1011-S01,AC1011,Bearing wear,MAJOR,2024-09-13T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0106,AC1011-S01-C04,AC1011-S01,AC1011,Bearing wear,MINOR,2024-09-18T19:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0107,AC1011-S02-C01,AC1011-S02,AC1011,Bearing wear,MINOR,2024-09-02T15:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0108,AC1011-S02-C02,AC1011-S02,AC1011,Bearing wear,MINOR,2024-09-05T18:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0109,AC1011-S02-C03,AC1011-S02,AC1011,Bearing wear,MINOR,2024-09-08T23:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0110,AC1011-S02-C01,AC1011-S02,AC1011,Bearing wear,MAJOR,2024-09-14T13:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0111,AC1011-S02-C03,AC1011-S02,AC1011,Vibration exceedance,CRITICAL,2024-09-17T17:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0112,AC1011-S02-C02,AC1011-S02,AC1011,Vibration exceedance,CRITICAL,2024-09-20T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0113,AC1011-S02-C02,AC1011-S02,AC1011,Vibration exceedance,CRITICAL,2024-09-24T11:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0114,AC1011-S02-C04,AC1011-S02,AC1011,Vibration exceedance,CRITICAL,2024-09-28T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
