:ID(MaintenanceEvent),component_id,system_id,aircraft_id,fault,severity,reported_at,corrective_action
ME0001,AC1002-S01-C04,AC1002-S01,AC1002,Bearing wear,MINOR,2024-08-10T22:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0002,AC1002-S01-C05,AC1002-S01,AC1002,Bearing wear,MINOR,2024-08-17T04:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0003,AC1002-S01-C03,AC1002-S01,AC1002,Bearing wear,MINOR,2024-08-20T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0004,AC1002-S01-C01,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-08-25T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0005,AC1002-S01-C05,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-08-29T20:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0006,AC1002-S01-C04,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-02T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0007,AC1002-S01-C04,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-05T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0008,AC1002-S01-C05,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-08T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0009,AC1002-S01-C05,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-11T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0010,AC1002-S01-C05,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-16T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0011,AC1002-S01-C02,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-20T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0012,AC1002-S01-C01,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-23T12:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0013,AC1002-S01-C03,AC1002-S01,AC1002,Vibration exceedance,CRITICAL,2024-09-26T15:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0014,AC1002-S02-C05,AC1002-S02,AC1002,Bearing wear,MINOR,2024-09-23T10:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0015,AC1005-S02-C04,AC1005-S02,AC1005,Bearing wear,MAJOR,2024-09-28T17:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0016,AC1006-S01-C01,AC1006-S01,AC1006,Bearing wear,MINOR,2024-09-02T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0017,AC1006-S01-C04,AC1006-S01,AC1006,Bearing wear,MAJOR,2024-09-07T21:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0018,AC1006-S01-C05,AC1006-S01,AC1006,Bearing wear,MAJOR,2024-09-12T08:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0019,AC1006-S01-C04,AC1006-S01,AC1006,Bearing wear,MINOR,2024-09-18T04:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0020,AC1006-S01-C04,AC1006-S01,AC1006,Vibration exceedance,CRITICAL,2024-09-26T09:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0021,AC1006-S02-C04,AC1006-S02,AC1006,Bearing wear,MAJOR,2024-08-27T09:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0022,AC1006-S02-C04,AC1006-S02,AC1006,Vibration exceedance,CRITICAL,2024-09-15T23:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0023,AC1006-S02-C01,AC1006-S02,AC1006,Vibration exceedance,CRITICAL,2024-09-19T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0024,AC1006-S02-C04,AC1006-S02,AC1006,Vibration exceedance,CRITICAL,2024-09-23T00:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0025,AC1006-S02-C01,AC1006-S02,AC1006,Vibration exceedance,CRITICAL,2024-09-26T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0026,AC1007-S01-C05,AC1007-S01,AC1007,Bearing wear,MAJOR,2024-08-04T07:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0027,AC1007-S01-C05,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-08-15T10:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0028,AC1007-S01-C05,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-08-18T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0029,AC1007-S01-C04,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-08-21T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0030,AC1007-S01-C04,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-08-25T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0031,AC1007-S01-C03,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-08-29T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0032,AC1007-S01-C02,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-02T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0033,AC1007-S01-C03,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-06T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0034,AC1007-S01-C04,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-09T13:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0035,AC1007-S01-C04,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-12T18:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0036,AC1007-S01-C01,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-16T00:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0037,AC1007-S01-C01,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-20T23:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0038,AC1007-S01-C04,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-24T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0039,AC1007-S01-C01,AC1007-S01,AC1007,Vibration exceedance,CRITICAL,2024-09-28T04:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0040,AC1007-S02-C03,AC1007-S02,AC1007,Bearing wear,MAJOR,2024-08-08T16:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0041,AC1007-S02-C02,AC1007-S02,AC1007,Bearing wear,MAJOR,2024-08-12T11:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0042,AC1007-S02-C03,AC1007-S02,AC1007,Bearing wear,MAJOR,2024-08-18T20:00:00,Replaced bearing assembly; flushed and refilled lubrication system
ME0043,AC1007-S02-C04,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-08-22T14:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0044,AC1007-S02-C02,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-08-27T06:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0045,AC1007-S02-C01,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-08-30T22:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0046,AC1007-S02-C02,AC1007-S02,AC1007,Overheat,MAJOR,2024-08-31T10:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0047,AC1007-S02-C05,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-03T07:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0048,AC1007-S02-C03,AC1007-S02,AC1007,Overheat,MAJOR,2024-09-03T11:00:00,Inspected hot section; replaced affected turbine stage and seals
ME0049,AC1007-S02-C04,AC1007-S02,AC1007,Vibration exceedance,CRITICAL,2024-09-06T21:00:00,Balanced rotating assembly; replaced damper pads and inspected bearings
ME0050,AC1007-S02-C04,AC1007-S02,AC1007,Overheat,MAJOR,2024-09-07T02:00:00,Inspected hot section; replaced affected turbine stage and seals
